MyUnknownColumn,Make,Model,Variant,Complete Name,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
764,Kia,Seltos,1.5,Kia Seltos 1.5,1354000,1493,4,4,FWD,In-line,BS VI,60,Diesel,SUV,1645,4315,1800,5,20,6,190,5,Automatic,4,1785,1490,1540,17.4,166.67,2610,5.3
778,Kia,Seltos,1.5,Kia Seltos 1.5,1414000,1493,4,4,FWD,In-line,BS VI,60,Diesel,SUV,1645,4315,1800,5,20,6,190,5,Manual,4,1785,1490,1540,22.5,166.67,2610,5.3
808,Kia,Seltos,1.5,Kia Seltos 1.5,1534000,1493,4,4,FWD,In-line,BS VI,60,Diesel,SUV,1645,4315,1800,5,20,6,190,5,Manual,4,1785,1490,1540,12.36,166.67,2610,5.3
836,Kia,Seltos,1.5,Kia Seltos 1.5,1634000,1493,4,4,FWD,In-line,BS VI,60,Diesel,SUV,1645,4315,1800,5,20,6,190,5,Automatic,4,1785,1490,1540,131.25,166.67,2610,5.3
766,Hyundai,Creta,1.6,Hyundai Creta 1.6,1366797,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,19.67,6,190,5,Manual,2,1785,1490,1540,17.4,136.84,2590,5.2
779,Hyundai,Creta,Sports Edition Diesel,Hyundai Creta Sports Edition Diesel,1414247,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1665,4270,1780,5,19.67,6,190,5,Manual,2,1785,1490,1540,8,136.84,2590,5.2
785,Hyundai,Creta,1.6,Hyundai Creta 1.6,1421208,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,19.67,6,190,5,Manual,2,1785,1490,1540,17.4,136.84,2590,5.2
812,Hyundai,Creta,1.6,Hyundai Creta 1.6,1543564,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,19.67,6,190,5,Manual,5,1785,1490,1540,65.71,136.84,2590,5.2
816,Hyundai,Creta,1.6,Hyundai Creta 1.6,1572064,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,19.67,6,190,5,Manual,5,1785,1490,1540,69.69,136.84,2590,5.2
170,Honda,Amaze,E Mt Petrol,Honda Amaze E Mt Petrol,593000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1498,3995,1695,4,19.5,5,170,5,Manual,2,905,1490,1540,26.67,22.92,2470,4.7
248,Honda,Amaze,S Mt Petrol,Honda Amaze S Mt Petrol,673000,1198,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,917,1490,1540,18.03,22.92,2470,4.7
307,Honda,Amaze,V Mt Petrol,Honda Amaze V Mt Petrol,733000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,921,1490,1540,13.83,22.92,2470,4.7
365,Honda,Amaze,Vx Mt Petrol,Honda Amaze Vx Mt Petrol,781000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,924,1490,1540,19.22,22.92,2470,4.7
383,Honda,Amaze,Exclusive Edition Petrol,Honda Amaze Exclusive Edition Petrol,794000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,924,1490,1540,30.5,22.92,2470,4.7
384,Honda,Amaze,Ace Edition Mt Petrol,Honda Amaze Ace Edition Mt Petrol,794300,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,924,1490,1540,28.17,22.92,2470,4.7
455,Honda,Amaze,Vx Cvt Petrol,Honda Amaze Vx Cvt Petrol,864000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Automatic,2,924,1490,1540,18.25,22.92,2470,4.7
470,Honda,Amaze,Ace Edition Cvt Petrol,Honda Amaze Ace Edition Cvt Petrol,877300,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Automatic,2,924,1490,1540,73.94,22.92,2470,4.7
342,Maruti Suzuki,Ertiga,Lxi,Maruti Suzuki Ertiga Lxi,759000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MPV,1690,4395,1735,5,19.34,5,185,7,Manual,2,1135,1490,1540,18.75,31.36,2740,5.2
428,Maruti Suzuki,Ertiga,Vxi,Maruti Suzuki Ertiga Vxi,834000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MUV,1685,4265,1695,5,19.34,5,165,7,Manual,2,1175,1490,1540,46.13,40.91,2740,5.2
478,Maruti Suzuki,Ertiga,Vxi Cng (Cng +,Maruti Suzuki Ertiga Vxi Cng (Cng +,887689,1462,4,4,FWD,In-line,BS VI,45,CNG + Petrol,MUV,1685,4265,1695,5,19.34,5,165,7,Manual,2,1175,1490,1540,84.85,40.91,2740,5.2
498,Maruti Suzuki,Ertiga,Zxi,Maruti Suzuki Ertiga Zxi,917000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MPV,1685,4265,1695,5,19.34,5,165,7,Manual,2,1175,1490,1540,54.56,31.36,2740,5.2
546,Maruti Suzuki,Ertiga,Zxi Plus,Maruti Suzuki Ertiga Zxi Plus,971000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MUV,1690,4395,1735,5,19.34,5,165,7,Manual,2,1170,1490,1540,14.91,29.55,2740,5.2
