,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
559,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,980689,1248,4,4,FWD,In-line,BS IV,43,Diesel,Sedan,1485,4490,1730,4,28.09,5,170,5,Manual,2,1105,1490,1540,19.97,114.29,2650,5.4
560,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,980689,1462,4,4,FWD,In-line,BS VI,43,Petrol,Sedan,1485,4490,1730,4,20.28,4,170,5,Automatic,2,1010,1490,1540,22.1,31.36,2650,5.4
561,Fiat,Abarth Punto,1.4,980970,1368,4,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1505,3989,1687,5,16.3,5,155,5,Manual,2,1785,1490,1540,22.1,106,2510,5.2
562,Hyundai,Venue,1.4,983000,1397,4,4,FWD,In-line,BS IV,45,Diesel,SUV,1590,3995,1770,5,23.7,6,200,5,Manual,2,1785,1490,1540,22.1,146.67,2500,5.2
563,Maruti Suzuki,Xl6,Zeta Mt,984689,1462,4,4,FWD,In-line,BS VI,45,Petrol,MPV,1700,4445,1775,5,19.01,5,165,6,Manual,1,1180,1490,1540,22.1,31.36,2740,5.2
564,Mahindra,Nuvosport,N8,984818,1493,3,4,FWD,In-line,BS IV,60,Diesel,SUV,1870,3985,1850,5,17.21,5,180,7,Manual,2,1785,1490,1540,31.09,150,2760,5.5
565,Maruti Suzuki,Ertiga,1.5L Vdi,986689,1498,4,4,FWD,In-line,BS IV,45,Diesel,MPV,1690,4395,1735,5,24.2,6,165,7,Manual,2,1225,1490,1540,31.09,128.57,2740,5.2
566,Maruti Suzuki,Vitara Brezza,Zdi+,987743,1248,4,4,FWD,In-line,BS IV,48,Diesel,SUV,1640,3995,1790,5,24.3,5,198,5,Manual,2,1170,1490,1540,31.09,114.29,2500,5.2
567,Volkswagen,Polo,Gt Tdi,988500,1498,4,4,FWD,In-line,BS IV,45,Diesel,Hatchback,1469,3971,1682,5,19.91,5,165,5,Manual,2,1148,1460,1456,31.09,166.67,2469,4.97
568,Tata,Zest,Xta Diesel,989000,1248,4,4,FWD,In-line,BS IV,44,Diesel,Sedan,1570,3995,1706,4,23,5,165,5,Automatic,2,1185,1450,1440,31.09,114.29,2470,5.1
569,Kia,Seltos,1.5,989000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Manual,2,1785,1490,1540,31.09,32,2610,5.3
570,Nissan,Kicks,Xe Diesel,989000,1461,4,4,RWD,In-line,BS VI,50,Diesel,SUV,1651,4384,1813,5,20.45,6,210,5,Manual,2,1785,1490,1540,31.09,137.14,2673,5.2
571,Fiat,Abarth Avventura,1.4,989219,1368,4,4,FWD,In-line,BS IV,45,Petrol,Crossover,1542,3983,1706,5,17.1,5,205,5,Manual,2,1785,1490,1540,7.37,105,2510,5.2
572,Honda,City,Sv Mt Petrol,991000,1497,4,4,FWD,In-line,BS VI,40,Petrol,Sedan,1495,4440,1695,4,17.4,5,165,5,Manual,2,1063,1490,1480,7.37,31.52,2600,5.3
573,Fiat,Linea,Emotion Multijet,991434,1248,4,4,FWD,In-line,BS IV,45,Diesel,Sedan,1494,4596,1730,4,20.4,5,185,5,Manual,2,1268,1471,1466,32.82,104.5,2603,5.4
574,Maruti Suzuki,S-Cross,1.3L Delta,992689,1248,4,4,FWD,In-line,BS IV,48,Diesel,Crossover,1595,4300,1785,5,23.65,5,180,5,Manual,2,1224,1490,1540,27.63,114.29,2600,5.5
575,Mahindra,Tuv300 Plus,P4,992748,2179,3,4,RWD,In-line,BS IV,60,Diesel,SUV,1812,4400,1835,5,18.49,5,165,9,Manual,2,1785,1490,1540,32.85,155.56,2680,5.35
576,Hyundai,I20 Active,1.4,993393,1396,4,4,FWD,In-line,BS IV,40,Diesel,Hatchback,1555,3995,1760,5,21.19,6,190,5,Manual,5,1785,1505,1505,30,146.67,2570,5.2
577,Nissan,Sunny,Xv Diesel,993997,1461,4,4,FWD,In-line,BS IV,41,Diesel,Sedan,1515,4455,1695,4,22.71,5,165,5,Manual,2,1785,1490,1540,30,100,2600,5.3
578,Nissan,Sunny,Xv Cvt,993997,1498,4,4,FWD,In-line,BS IV,41,Petrol,Sedan,1515,4455,1695,4,17.97,5,165,5,Automatic,2,1785,1490,1540,30,33.5,2600,5.3
579,Honda,Wr-V,V Diesel,995000,1498,4,4,FWD,In-line,BS IV,40,Diesel,SUV,1601,3999,1734,5,25.5,7,188,5,Manual,2,1204,1490,1540,35.05,114.29,2555,5.3
580,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,997689,1462,4,4,FWD,In-line,BS VI,43,Petrol,Sedan,1485,4490,1730,4,21.56,5,170,5,Manual,2,1010,1490,1540,35.05,31.36,2650,5.4
581,Maruti Suzuki,Ciaz,1.5L Delta,997689,1498,4,4,FWD,In-line,BS IV,43,Diesel,Sedan,1485,4490,1730,4,26.32,6,170,5,Manual,2,1105,1490,1540,35.05,150,2650,5.4
582,Fiat,Linea,T-Jet Emotion,997763,1368,4,4,FWD,In-line,BS IV,45,Petrol,Sedan,1487,4596,1730,4,15.7,5,185,5,Manual,2,1258,1490,1540,35.05,94.09,2603,5.5
583,Hyundai,Venue,1.4,998000,1397,4,4,FWD,In-line,BS IV,45,Diesel,SUV,1590,3995,1770,5,23.7,6,200,5,Manual,2,1785,1490,1540,35.05,146.67,2500,5.2
584,Skoda,Rapid,1.6,998599,1598,4,4,FWD,In-line,BS IV,55,Petrol,Sedan,1466,4413,1699,4,15.41,5,163,5,Manual,2,1137,1490,1540,35.05,40.8,2552,5.3
585,Mahindra,Xuv300,1.5,999000,1497,4,4,RWD,In-line,BS VI,42,Diesel,SUV,1617,3995,1821,5,20,6,180,5,AMT,2,1785,1490,1540,35.05,200,2600,5.3
586,Force,Gurkha,5,999000,2596,4,4,RWD,In-line,BS IV,63,Diesel,SUV,2055,4342,1790,5,17,6,190,7,Manual,2,1785,1490,1480,35.05,164.29,2750,6.25
587,Mahindra,Thar,700,999148,2498,4,4,4WD,In-line,BS IV,60,Diesel,SUV,1930,3920,1726,3,13,5,200,6,Manual,2,1750,1445,1346,23.44,137.22,2430,5.75
588,Skoda,Rapid,1.6,999599,1598,4,4,FWD,In-line,BS IV,55,Petrol,Sedan,1466,4413,1699,4,14.84,5,163,5,Automatic,2,1187,1490,1540,30.25,40.8,2552,5.3
589,Mahindra,Tuv300,T10,999614,1493,3,4,RWD,In-line,BS IV,60,Diesel,SUV,1839,3995,1835,5,18.49,5,184,7,Manual,2,1590,1490,1540,30.25,160,2680,5.35
590,Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,999900,1498,4,4,FWD,In-line,BS IV,45,Diesel,Sedan,1483,3995,1682,4,21.73,7,165,5,Automatic,2,1184,1460,1456,30,166.67,2470,5.2
591,Volkswagen,Ameo,Gt Line Tdi Dsg,999900,1498,4,4,FWD,In-line,BS IV,45,Diesel,Sedan,1483,3995,1682,4,21.73,7,165,5,Automatic,2,1184,1460,1456,30,166.67,2470,5.2
592,Ford,Ecosport,1.5L Tdci Titanium,999900,1498,4,4,FWD,In-line,BS VI,52,Diesel,SUV,1647,3998,1765,5,23,5,200,5,Manual,2,1300,1490,1540,37.33,117.14,2579,5.3
593,Ford,Ecosport,1.5L Ti-Vct Titanium Plus,999900,1497,4,4,FWD,In-line,BS VI,52,Petrol,SUV,1647,3998,1765,5,23,5,200,5,Manual,5,1304,1490,1540,37.33,33.33,2519,5.3
594,Ford,Ecosport,1.5L Ti-Vct Thunder Edition,999900,1497,4,4,FWD,In-line,BS VI,52,Petrol,SUV,1647,3998,1765,5,23,5,200,5,Manual,5,1304,1490,1540,37.33,33.33,2519,5.3
595,Hyundai,Verna,1.6,999900,1591,4,4,FWD,In-line,BS IV,45,Petrol,Sedan,1445,4440,1729,4,17.7,5,165,5,Manual,2,1785,1490,1540,37.33,31.13,2600,5.2
596,Hyundai,Verna,1.4,999900,1396,4,4,FWD,In-line,BS IV,45,Diesel,Sedan,1445,4440,1729,4,23,5,165,5,Manual,2,1785,1490,1540,31.11,33.25,2600,5.2
