,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
0,Tata,Nano Genx,Xe,236447,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,725,1325,1315,93.54,12.75,2230,4
1,Bajaj,Qute (Re60),Qcar,263000,216,4,1,RWD,In-line,BS IV,45,Petrol,Hatchback,1652,2752,1312,4,35,5,165,4,Manual,2,1785,1143,1540,85.32,4.73,1925,3.5
2,Tata,Nano Genx,Xm,272223,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,725,1325,1315,84.21,12.75,2230,4
3,Datsun,Redi-Go,D,279650,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,35.75,16.42,2348,4.7
4,Maruti Suzuki,Omni,5,282778,796,3,2,RWD,In-line,BS IV,35,Petrol,MPV,1640,3370,1410,5,16.8,4,165,5,Manual,2,785,1205,1190,35.75,23.6,1840,4.1
5,Bajaj,Qute (Re60),Qcar Cng,283000,216,4,1,RWD,In-line,BS IV,45,CNG,Hatchback,1652,2752,1312,4,43,5,165,4,Manual,2,1785,1143,1540,25,4.03,1925,3.5
6,Renault,Kwid,0.8,283290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,5,184,5,Manual,1,669,1490,1540,25,16.42,2442,5.2
7,Maruti Suzuki,Omni,8,284485,796,3,2,RWD,In-line,BS IV,36,Petrol,MPV,1640,3370,1410,5,16.8,4,165,8,Manual,2,785,1205,1190,42.45,23.6,1840,4.1
8,Tata,Nano Genx,Xt,292667,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,660,1325,1315,42.14,12.75,2230,4
9,Maruti Suzuki,Alto,Std,294800,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,730,1295,1290,42.14,19.71,2360,5.2
10,Tata,Nano Genx,Emax Xm,296661,624,2,2,RWD,In-line,BS IV,15,CNG,Hatchback,1652,3164,1750,4,36,4,180,4,Manual,2,710,1325,1315,35.71,12.75,2230,4
11,Maruti Suzuki,Alto,Std (O),299900,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,732,1295,1290,30,19.71,2360,5.2
12,Tata,Nano Genx,Xma,314815,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,21.9,5,180,4,Automatic,2,710,1325,1315,30,12.75,2230,4
13,Datsun,Redi-Go,A,333419,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,32.16,16.42,2348,4.7
14,Tata,Nano Genx,Xta,334768,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,21.9,5,180,4,Automatic,2,725,1325,1315,49,12.75,2230,4
15,Datsun,Redi-Go,T,351832,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,49,16.42,2348,4.7
16,Maruti Suzuki,Eeco,5,352136,1196,4,4,RWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,5,Manual,1,920,1280,1290,61.67,33.67,2350,4.5
17,Maruti Suzuki,Alto,Lxi,352900,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,755,1295,1290,78.95,19.71,2360,5.2
18,Renault,Kwid,0.8,353290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,6,184,5,Manual,1,669,1490,1540,68,16.42,2422,5.2
19,Maruti Suzuki,800,H1,354235,796,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3430,1490,5,23.7,5,160,5,Manual,2,720,1295,1290,68,19.71,2360,4.6
20,Maruti Suzuki,800,H1 (O),356559,796,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3395,1490,5,24.7,5,160,5,Manual,1,720,1295,1290,73.94,19.71,2360,4.6
21,Maruti Suzuki,Alto,Lxi (O),357200,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,1,757,1295,1290,50,19.71,2360,5.2
22,Maruti Suzuki,Alto K10,Lx,360843,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Manual,1,740,1295,1290,50,25.71,2360,4.6
23,Datsun,Redi-Go,S,362000,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,32.19,16.42,2348,4.7
24,Maruti Suzuki,S-Presso,Std,370500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,1,726,1490,1540,32.21,25.71,2380,4.5
25,Datsun,Go,D,374990,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,55.33,26,2450,4.6
26,Maruti Suzuki,Alto,Vxi,376100,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,762,1295,1290,55.33,19.71,2360,5.2
27,Maruti Suzuki,S-Presso,Std (O),376500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,2,726,1490,1540,56,25.71,2380,4.5
28,Maruti Suzuki,Alto K10,Lxi,377588,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Manual,1,745,1295,1290,50.4,25.71,2360,4.6
29,Maruti Suzuki,Eeco,7,380573,1196,4,4,FWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,7,Manual,1,940,1280,1290,55.33,33.67,2350,4.5
30,Renault,Kwid,0.8,383290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,5,184,5,Manual,1,669,1490,1540,50.4,16.42,2422,5.2
31,Maruti Suzuki,Alto,Vxi Plus,389600,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,762,1295,1290,84.85,19.71,2360,5.2
32,Datsun,Redi-Go,1,390000,999,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,22.5,5,185,5,Manual,2,1785,1490,1540,50,21.41,2348,4.7
33,Maruti Suzuki,Eeco,5,392967,1196,4,4,RWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,5,Manual,2,928,1280,1290,50,33.67,2350,4.5
34,Maruti Suzuki,Alto K10,Vxi,394036,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Manual,1,750,1295,1290,2.4,25.71,2360,4.6
35,Maruti Suzuki,Alto,Lxi Cng (Cng +,405570,796,3,4,FWD,In-line,BS VI,35,CNG + Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,755,1295,1290,2.21,19.71,2360,5.2
36,Maruti Suzuki,Alto K10,Vxi (O),407238,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1460,3620,1475,5,24.07,5,160,5,Manual,1,755,1295,1290,98.33,25.71,2360,4.6
37,Maruti Suzuki,S-Presso,Lxi,409000,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,1,726,1490,1540,101.33,25.71,2380,4.5
38,Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,409190,796,3,4,FWD,In-line,BS VI,35,CNG + Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,1,757,1295,1290,91.67,19.71,2360,5.2
39,Datsun,Go+,D,412292,1198,3,4,FWD,In-line,BS IV,35,Petrol,MPV,1507,3995,1635,5,20.6,5,180,7,Manual,1,1785,1440,1445,121.9,26,2450,4.6
40,Renault,Kwid,0.8,413290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1580,5,25.17,5,184,5,Manual,1,669,1490,1540,84.5,16.42,2422,5.2
41,Maruti Suzuki,S-Presso,Lxi (O),415000,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,2,726,1490,1540,100.98,25.71,2380,4.5
42,Maruti Suzuki,Celerio Tour,H2,422444,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,830,1420,1410,47.5,25.71,2425,4.7
43,Maruti Suzuki,Eeco,5,425255,1196,4,4,RWD,In-line,BS VI,40,CNG,MPV,1800,3675,1475,5,20,5,160,5,Manual,1,1030,1280,1290,32.24,28.33,2350,4.5
44,Maruti Suzuki,Celerio,Lxi,426289,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,47.5,25.71,2425,4.7
45,Hyundai,Santro,Era Mt,429990,1086,4,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3610,1645,4,20.3,5,165,5,Manual,1,1785,1476,1494,66.51,22.01,2400,5.2
46,Maruti Suzuki,S-Presso,Vxi,432500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,Manual,1,726,1490,1540,66.51,25.71,2380,4.5
47,Renault,Kwid,1,433290,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,23.01,5,184,5,Manual,1,669,1490,1540,85.33,21.41,2422,5.2
48,Maruti Suzuki R,Wagon,Lxi,434000,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Manual,1,1785,1490,1540,78.7,25.71,2450,5.2
49,Maruti Suzuki,Celerio,Lxi Mt (O),434659,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,830,1420,1410,66.25,25.71,2425,4.7
50,Datsun,Redi-Go,1,437065,999,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,23,5,185,5,Automatic,2,1785,1490,1540,66.25,21.41,2348,4.7
51,Maruti Suzuki,S-Presso,Vxi (O),438500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,Manual,2,726,1490,1540,66.25,25.71,2380,4.5
52,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Automatic,1,755,1295,1290,61.82,25.71,2360,4.6
53,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998,3,4,FWD,In-line,BS IV,35,CNG,Hatchback,1475,3545,1490,5,32.26,5,160,5,Manual,1,740,1295,1290,57.2,22.29,2360,4.6
54,Renault,Kwid,1,440990,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,23.01,5,184,5,Manual,2,669,1490,1540,112.78,21.41,2422,5.2
55,Maruti Suzuki R,Wagon,Lxi (O),441000,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Manual,2,1785,1490,1540,47.68,25.71,2450,5.2
56,Renault,Kwid,1,454490,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,23.01,5,184,5,Manual,1,669,1490,1540,47.5,21.41,2422,5.2
57,Maruti Suzuki,S-Presso,Vxi+,456000,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,Manual,2,726,1490,1540,47.5,25.71,2380,4.5
58,Tata,Tiago,Revotron Xe,460000,1199,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1535,3765,1677,5,23,5,165,5,Manual,2,935,1490,1540,47.39,34.55,2400,5.2
59,Hyundai,Grand I10 Prime,Era T Vtvt,460369,1197,4,4,FWD,In-line,BS IV,43,Petrol,Hatchback,1520,3765,1660,5,19.77,5,165,5,Manual,1,1003,1479,1493,38.55,28.5,2425,4.7
60,Renault,Kwid,1,462190,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,23.01,5,184,5,Manual,2,669,1490,1540,475,21.41,2422,5.2
61,Renault,Kwid,1,463290,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,24.04,5,184,5,Automatic,1,669,1490,1540,475,21.41,2422,5.2
62,Maruti Suzuki,Celerio,Vxi,465138,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,516,25.71,2425,4.7
63,Maruti Suzuki,Eeco,5,466057,1196,4,4,RWD,In-line,BS VI,40,CNG,MPV,1800,3675,1475,5,20,5,160,5,Manual,1,1050,1280,1290,47.64,28.33,2350,4.5
64,Datsun,Go,T,468229,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,66.25,26,2450,4.6
65,Datsun,Go,A,469990,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,48.35,26,2450,4.6
66,Renault,Kwid,1,470990,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,23.01,5,184,5,Automatic,2,669,1490,1540,43.95,21.41,2422,5.2
67,Maruti Suzuki,Celerio,Vxi (O) Mt,472257,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,68.26,25.71,2425,4.7
68,Maruti Suzuki,Celerio X,Vxi,475198,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,1,810,1420,1410,32.26,25.71,2425,4.7
69,Maruti Suzuki,S-Presso,Vxi Ags,475500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,AMT,1,726,1490,1540,32.29,25.71,2380,4.5
70,Hyundai,Grand I10 Prime,Era T+ Vtvt,477511,1197,4,4,FWD,In-line,BS IV,43,Petrol,Hatchback,1520,3765,1660,5,19.77,5,165,5,Manual,1,1003,1479,1493,59.04,28.5,2425,4.7
71,Maruti Suzuki R,Wagon,Vxi,479000,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Manual,1,1785,1490,1540,47.5,25.71,2450,5.2
72,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998,3,4,FWD,In-line,BS IV,60,CNG,Hatchback,1560,3695,1600,5,31.76,5,165,5,Manual,2,915,1420,1410,64.5,22.29,2425,4.7
73,Maruti Suzuki,Celerio X,Vxi (O),481074,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,48.46,25.71,2425,4.7
74,Maruti Suzuki,S-Presso,Vxi (O) Ags,481500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,AMT,2,726,1490,1540,66.25,25.71,2380,4.5
75,Fiat,Punto Evo Pure,1.2L Fire Dynamic,482330,1172,4,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1525,3987,1687,5,15,5,195,5,Manual,2,1165,1490,1540,66.25,38.4,2510,5
76,Maruti Suzuki,Ignis,1.2,483320,1197,4,4,FWD,In-line,BS IV,32,Petrol,Hatchback,1595,3700,1690,5,20.89,5,180,5,Manual,2,825,1490,1540,81.82,26.9,2435,4.7
77,Renault,Kwid,1,484490,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,24.04,5,184,5,Automatic,1,669,1490,1540,47,21.41,2422,5.2
78,Maruti Suzuki R,Wagon,Vxi (O),486001,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Manual,2,1785,1490,1540,104.17,25.71,2450,5.2
79,Mahindra,Kuv100 Nxt,K2 6Str,488194,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1655,3700,1735,5,18.15,5,170,6,Manual,2,1785,1490,1490,223.77,32.86,2385,5.2
80,Maruti Suzuki,Celerio,Zxi,490924,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,1,810,1420,1410,32.31,25.71,2425,4.7
81,Renault,Kwid,1,492190,999,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,24.04,5,184,5,Automatic,2,669,1490,1540,9.51,21.41,2422,5.2
82,Renault,Triber,Rxe,495000,999,3,4,FWD,In-line,BS VI,40,Petrol,MUV,1643,3990,1739,5,20.5,5,182,7,Manual,2,947,1547,1545,9.51,27.43,2636,5.2
83,Maruti Suzuki,S-Presso,Vxi+ Ags,499000,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.7,5,165,5,AMT,2,726,1490,1540,9.51,25.71,2380,4.5
84,Maruti Suzuki,Celerio X,Zxi,499734,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,1,810,1420,1410,9.51,25.71,2425,4.7
85,Datsun,Go,A (O),499990,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,12.36,26,2450,4.6
86,Maruti Suzuki R,Wagon,Lxi Cng,500500,998,3,4,FWD,In-line,BS IV,32,CNG,Hatchback,1675,3655,1620,5,33.54,5,165,5,Manual,1,1785,1490,1540,12.36,25.71,2450,5.2
87,Datsun,Go+,A,500575,1198,3,4,FWD,In-line,BS IV,35,Petrol,MPV,1507,3995,1635,5,20.6,5,180,7,Manual,2,1785,1440,1445,13.6,26,2450,4.6
88,Datsun,Go,T (O),502492,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,13.6,26,2450,4.6
89,Hyundai,Santro,Magna Mt,503990,1086,4,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3610,1645,4,20.3,5,165,5,Manual,1,1785,1476,1494,13.6,22.01,2400,5.2
90,Hyundai,Grand I10 Nios,1.2,504990,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1520,3805,1680,5,20.7,5,165,5,Manual,2,935,1490,1540,13.6,28.5,2450,5.2
91,Premier,Rio,Gx,506000,1173,4,4,FWD,In-line,BS IV,46,Petrol,SUV,1730,3970,1570,5,16,5,200,5,Manual,2,1080,1305,1310,13.6,29.69,2420,4.7
92,Maruti Suzuki R,Wagon,Lxi (O) Cng,507500,998,3,4,FWD,In-line,BS IV,32,CNG,Hatchback,1675,3655,1620,5,33.54,5,165,5,Manual,2,1785,1490,1540,13.6,25.71,2450,5.2
93,Maruti Suzuki,Celerio,Vxi At,508138,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,2,810,1420,1410,13.6,25.71,2425,4.7
94,Hyundai,Santro,Sportz Mt,512990,1086,4,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3610,1645,4,20.3,5,165,5,Manual,1,1785,1463,1481,22.01,10.1kgm@4500RPM,2400,5.2
95,Maruti Suzuki R,Wagon,1.2L Vxi,513501,1197,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,21.5,5,165,5,Manual,1,830,1490,1540,15.6,26.9,2435,4.7
96,Maruti Suzuki,Celerio,Vxi (O) Ags,515257,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,2,810,1420,1410,13.6,25.71,2425,4.7
97,Maruti Suzuki,Celerio X,Vxi Amt,518198,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,1,810,1420,1410,13.6,25.71,2425,4.7
98,Maruti Suzuki,Swift,Lxi,519000,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1530,3840,1735,5,20.4,5,163,5,Manual,2,855,1530,1530,13.6,26.9,2450,4.8
99,Tata,Tiago,Revotron Xt,520000,1199,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1535,3746,1647,5,23,5,170,5,Manual,2,930,1400,1420,13.6,34.55,2400,4.9
100,Toyota,Etios Liva,G,520300,1197,4,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1510,3884,1695,5,18.16,5,170,5,Manual,2,895,1468,1474,13.6,33.55,2460,4.8
101,Maruti Suzuki R,Wagon,1.2L Vxi (O),520500,1197,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,21.5,5,165,5,Manual,2,830,1490,1540,13.6,26.9,2435,4.7
102,Ford,Figo,1.2,523000,1194,4,4,FWD,In-line,BS IV,42,Petrol,Hatchback,1525,3941,1704,5,20.4,5,165,5,Manual,2,1026,1490,1540,13.6,28.24,2490,5.2
103,Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,2,810,1420,1410,15.6,25.71,2425,4.7
104,Mahindra,Kuv100 Nxt,K2 5Str Cng Taxi,524312,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1655,3700,1735,5,18.15,5,170,5,Manual,2,1785,1490,1490,15.6,32.86,2385,5.2
105,Nissan,Micra Active,Xl,525021,1198,3,12,FWD,In-line,BS IV,41,Petrol,Hatchback,1530,3801,1665,5,18.97,5,154,5,Manual,2,1785,1490,1540,45.45,26,2450,4.65
106,Maruti Suzuki R,Wagon,Vxi Ags,526000,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Automatic,1,1785,1490,1540,74.67,25.71,2450,5.2
107,Datsun,Go,T Vdc,528464,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,67.22,26,2450,4.6
108,Hyundai,Grand I10 Prime,Era T Cng Vtvt,528804,1197,4,4,FWD,In-line,BS IV,43,CNG,Hatchback,1520,3765,1660,5,25,5,165,5,Manual,2,935,1479,1493,83.75,28.5,2425,4.8
109,Tata,Altroz,Xe Petrol,529000,1199,3,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1523,3990,1755,5,18,5,165,5,Manual,2,1785,1490,1540,83.75,34.24,2501,5
110,Tata,Bolt,Xe Petrol,529035,1193,4,4,FWD,In-line,BS IV,44,Petrol,Hatchback,1562,3825,1695,5,17.57,5,165,5,Manual,2,1095,1490,1540,87.14,93.33,2470,5.1
111,Maruti Suzuki,Celerio,Vxi Cng Mt,530000,998,3,4,FWD,In-line,BS VI,35,CNG,Hatchback,1560,3600,1600,5,31.79,5,165,5,Manual,2,810,1420,1410,85.13,22.29,2425,4.7
112,Hyundai,Santro,Magna Amt,530990,1086,4,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3610,1645,4,20.3,5,165,5,AMT,1,1785,1476,1494,22.01,10.1kgm@4500RPM,2400,5.2
113,Maruti Suzuki,Celerio,Zxi (Opt),531279,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,83.63,25.71,2425,4.7
114,Mahindra,Kuv100 Nxt,K2+ 6Str,532184,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1655,3700,1735,5,18.15,5,170,6,Manual,2,1785,1490,1490,23.25,32.86,2385,5.2
115,Maruti Suzuki R,Wagon,Vxi Ags (O),533000,998,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1675,3655,1620,5,22.5,5,165,5,Automatic,1,1785,1490,1540,23.25,25.71,2450,5.2
116,Maruti Suzuki,Celerio,Zxi Ags,533924,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,1,830,1420,1410,25.45,25.71,2425,4.7
117,Fiat,Punto Evo,1.2,535562,1172,4,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1525,3989,1687,5,15.7,5,185,5,Manual,2,1095,1490,1540,23.25,38.4,2510,5.2
118,Hyundai,Xcent Prime,T,536859,1197,4,4,FWD,In-line,BS IV,43,Petrol,Sedan,1520,3995,1660,4,15.7,5,165,5,Manual,2,1100,1479,1493,23.25,19,2425,5.2
119,Hyundai,Xcent Prime,Cng T (Cng +,536859,1197,4,4,FWD,In-line,BS IV,43,CNG + Petrol,Sedan,1520,3995,1660,4,25,5,165,5,Manual,2,1100,1479,1493,23.25,19,2425,5.2
120,Maruti Suzuki,Celerio X,Zxi (O),540350,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Manual,2,810,1420,1410,23.25,25.71,2425,4.7
121,Maruti Suzuki,Celerio X,Zxi Amt,542735,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,1,810,1420,1410,22.8,25.71,2425,4.7
122,Mahindra,Kuv100 Nxt,K2 6Str Cng Taxi,542913,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1655,3700,1735,5,18.15,5,170,6,Manual,2,1785,1490,1490,23.25,32.86,2385,5.2
123,Maruti Suzuki,Celerio,Zxi (O) Ags,543279,998,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1560,3600,1600,5,23.1,5,165,5,Automatic,2,830,1420,1410,23.25,25.71,2425,4.7
124,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,545946,1197,4,4,FWD,In-line,BS IV,43,CNG,Hatchback,1520,3765,1660,5,25,5,165,5,Manual,2,935,1479,1493,18.6,28.5,2425,4.8
125,Hyundai,Santro,Magna Mt Cng,547990,1086,4,4,FWD,In-line,BS IV,35,CNG,Hatchback,1560,3610,1645,4,30.48,5,165,5,Manual,1,1785,1476,1494,22.8,22.01,2400,5.2
126,Maruti Suzuki R,Wagon,1.2L Zxi,548000,1197,3,4,FWD,In-line,BS VI,32,Petrol,Hatchback,1620,3655,1675,5,21.5,5,165,5,Manual,2,1785,1490,1540,26,269.05,2450,5.2
127,Mahindra,Kuv100 Nxt,K2 D 5Str Taxi,550155,1198,3,4,FWD,In-line,BS IV,35,Diesel,Hatchback,1655,3700,1735,5,25.32,5,170,5,Manual,2,1785,1490,1490,11.33,108.57,2385,5.2
128,Hyundai,Grand I10 Prime,Era T Crdi,551530,1120,3,4,FWD,In-line,BS IV,43,Diesel,Hatchback,1520,3765,1660,5,23,5,165,5,Manual,2,1785,1479,1493,32.36,10.87,2425,5.2
